"filename", "language", "JavaScript", "PostCSS", "JSON with Comments", "JSON", "XML", "Markdown", "comment", "blank", "total"
"/Users/sas/Desktop/web/src/pages/requisitions.js", "JavaScript", 142, 0, 0, 0, 0, 0, 0, 15, 157
"/Users/sas/Desktop/web/src/pages/retirements.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 7, 54
"/Users/sas/Desktop/web/src/pages/vendors.js", "JavaScript", 170, 0, 0, 0, 0, 0, 0, 5, 175
"/Users/sas/Desktop/web/src/sections/accounts/accounts-table.js", "JavaScript", 121, 0, 0, 0, 0, 0, 0, 7, 128
"/Users/sas/Desktop/web/src/sections/accounts/add-account.js", "JavaScript", 98, 0, 0, 0, 0, 0, 0, 7, 105
"/Users/sas/Desktop/web/src/sections/companies/companies-search.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 2, 24
"/Users/sas/Desktop/web/src/sections/companies/company-card.js", "JavaScript", 95, 0, 0, 0, 0, 0, 0, 4, 99
"/Users/sas/Desktop/web/src/sections/members/members-search.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 2, 23
"/Users/sas/Desktop/web/src/sections/members/members-table.js", "JavaScript", 161, 0, 0, 0, 0, 0, 0, 7, 168
"/Users/sas/Desktop/web/src/sections/overview/overview-budget.js", "JavaScript", 82, 0, 0, 0, 0, 0, 0, 4, 86
"/Users/sas/Desktop/web/src/sections/overview/overview-latest-orders.js", "JavaScript", 104, 0, 0, 0, 0, 0, 0, 4, 108
"/Users/sas/Desktop/web/src/sections/overview/overview-latest-products.js", "JavaScript", 95, 0, 0, 0, 0, 0, 0, 5, 100
"/Users/sas/Desktop/web/src/sections/overview/overview-sales.js", "JavaScript", 154, 0, 0, 0, 0, 0, 0, 6, 160
"/Users/sas/Desktop/web/src/sections/overview/overview-tasks-progress.js", "JavaScript", 86, 0, 0, 0, 0, 0, 1, 5, 92
"/Users/sas/Desktop/web/src/sections/overview/overview-total-approved.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 4, 53
"/Users/sas/Desktop/web/src/sections/overview/overview-total-customers.js", "JavaScript", 82, 0, 0, 0, 0, 0, 0, 5, 87
"/Users/sas/Desktop/web/src/sections/overview/overview-total-profit.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 4, 49
"/Users/sas/Desktop/web/src/sections/overview/overview-total-raised.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 4, 53
"/Users/sas/Desktop/web/src/sections/overview/overview-traffic.js", "JavaScript", 136, 0, 0, 0, 0, 0, 0, 8, 144
"/Users/sas/Desktop/web/src/sections/profile/account-profile-details.js", "JavaScript", 195, 0, 0, 0, 0, 0, 0, 14, 209
"/Users/sas/Desktop/web/src/sections/profile/account-profile.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 3, 59
"/Users/sas/Desktop/web/src/sections/projects/account-codes-table.js", "JavaScript", 214, 0, 0, 0, 0, 0, 0, 15, 229
"/Users/sas/Desktop/web/src/sections/projects/budget-codes-table.js", "JavaScript", 233, 0, 0, 0, 0, 0, 1, 16, 250
"/Users/sas/Desktop/web/src/sections/projects/project-codes-table.js", "JavaScript", 312, 0, 0, 0, 0, 0, 6, 17, 335
"/Users/sas/Desktop/web/src/sections/requisitions/bin-table.js", "JavaScript", 107, 0, 0, 0, 0, 0, 1, 11, 119
"/Users/sas/Desktop/web/src/sections/requisitions/filter-requisitions.js", "JavaScript", 105, 0, 0, 0, 0, 0, 0, 3, 108
"/Users/sas/Desktop/web/src/sections/requisitions/requisitions-table.js", "JavaScript", 294, 0, 0, 0, 0, 0, 2, 17, 313
"/Users/sas/Desktop/web/src/sections/requisitions/retirements-table.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 7, 87
"/Users/sas/Desktop/web/src/sections/settings/settings-notifications.js", "JavaScript", 102, 0, 0, 0, 0, 0, 0, 3, 105
"/Users/sas/Desktop/web/src/sections/settings/settings-password.js", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 5, 77
"/Users/sas/Desktop/web/src/services/api/accounts.api.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 6, 12
"/Users/sas/Desktop/web/src/services/api/api-helper.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 8, 62
"/Users/sas/Desktop/web/src/services/api/bin.api.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/sas/Desktop/web/src/services/api/message-chat.api.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 4, 25
"/Users/sas/Desktop/web/src/services/api/profile.api.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/sas/Desktop/web/src/services/api/project-codes.api.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/sas/Desktop/web/src/services/api/requisition.api.js", "JavaScript", 33, 0, 0, 0, 0, 0, 1, 21, 55
"/Users/sas/Desktop/web/src/services/api/users.api.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 7, 59
"/Users/sas/Desktop/web/src/services/bankCodes.js", "JavaScript", 86, 0, 0, 0, 0, 0, 0, 1, 87
"/Users/sas/Desktop/web/src/services/constants.js", "JavaScript", 164, 0, 0, 0, 0, 0, 0, 10, 174
"/Users/sas/Desktop/web/src/services/helpers.js", "JavaScript", 168, 0, 0, 0, 0, 0, 5, 38, 211
"/Users/sas/Desktop/web/src/services/requisitionDefault.js", "JavaScript", 98, 0, 0, 0, 0, 0, 0, 2, 100
"/Users/sas/Desktop/web/src/styles/common.css", "PostCSS", 0, 7, 0, 0, 0, 0, 0, 0, 7
"/Users/sas/Desktop/web/src/theme/colors.js", "JavaScript", 65, 0, 0, 0, 0, 0, 0, 8, 73
"/Users/sas/Desktop/web/src/theme/create-components.js", "JavaScript", 305, 0, 0, 0, 0, 0, 1, 4, 310
"/Users/sas/Desktop/web/src/theme/create-palette.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 2, 34
"/Users/sas/Desktop/web/src/theme/create-shadows.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 1, 30
"/Users/sas/Desktop/web/src/theme/create-typography.js", "JavaScript", 76, 0, 0, 0, 0, 0, 0, 1, 77
"/Users/sas/Desktop/web/src/theme/index.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 3, 32
"/Users/sas/Desktop/web/src/utils/apply-pagination.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/sas/Desktop/web/src/utils/create-emotion-cache.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/sas/Desktop/web/src/utils/create-resource-id.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/sas/Desktop/web/src/utils/format-currency.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 2, 20
"/Users/sas/Desktop/web/src/utils/format-date.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 5, 22
"/Users/sas/Desktop/web/src/utils/format-strings.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/sas/Desktop/web/src/utils/get-firstname.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/sas/Desktop/web/src/utils/get-greeting.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/sas/Desktop/web/src/utils/get-initials.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/sas/Desktop/web/src/utils/print-document.js", "JavaScript", 305, 0, 0, 0, 0, 0, 1, 13, 319
"Total", "-", 9842, 7, 19, 9682, 104, 162, 324, 846, 20986
